"review_title","review_text","review_star","veri","revdate","nhelpful1","page_num"
"







  
  
    Magic.
  
","









  
  
    
  This thing is crazy! We have a brand spanking new house, been in it for 6 months. I sweep, vacuum, swiffer and mop regularly and I just pulled all of this nastiness off my kitchen floor! It was cleaned last week. How does this happen?Magic. That’s how.Buy this.Ps. We have luxury plank vinyl. And tile.

  
","5.0 out of 5 stars","1","January 29, 2021","1","100"
"







  
  
    Takes half the time to clean floors!
  
","









  
  
    
  Love this vacuum! I used to hate my corded vacuum and using a wet mop and bucket throughout our house. This thing makes cleaning floors easy and can you believe I actually enjoy doing it now? If you're on the fence, get it. You won't regret it

  
","5.0 out of 5 stars","1","January 15, 2022",NA,"100"
"







  
  
    Absolute nightmare
  
","









  
  
    
  First of all, the worst app ever! It is an absolute nightmare to register it through the app. Took 5 tries to get it to work. Second, you can only use it on non-carpet floors! Only hardwood floors, tile, etc. There’s no regular vacuum feature for carpet areas. There’s no tools to use for hard to reach areas. You have to clean the brushes after EVERY single use. If you’re trying to do a quick floor clean and be done, it will affect its useful life to not clean the brushes. Kinda defeats the purpose of easy quick floor cleaning. Do yourself a favor and do not buy this headache.

  
","1.0 out of 5 stars","1","July 5, 2021",NA,"100"
"







  
  
    AMAZING!!  You NEED this!
  
","









  
  
    
  My only complaint would be that it leaves about an inch gap between floorboards.  It cleans sooooo amazingly well you can def notice the areas it doesn’t get close enough to.Hands down the best machine ever though.  Very easy to use and amazing power!  This is the last mop I will ever own, nothing compares!

  
","5.0 out of 5 stars","1","February 10, 2021","1","100"
"







  
  
    Worth the $$
  
","









  
  
    
  This has been AMAZING! There is no wasted water. My floors are so clean. And it is so quick and easy. Worth every single penny.

  
","5.0 out of 5 stars","1","June 25, 2021",NA,"221"
"







  
  
    Great for wet and dry
  
","









  
  
    
  Love that it picks up wet and dry. Wish tank was a little bigger but honestly it’s the best thing I recommended or gift to anyone!

  
","5.0 out of 5 stars","1","September 10, 2021",NA,"221"
"







  
  
    Spot cleaner.
  
","









  
  
    
  This is a great mop for day to day clean up of one room. The dirty canister fills up fast and needs to be cleaned out between each room. It is just not meant for cleaning your whole house.

  
","3.0 out of 5 stars","1","April 20, 2021",NA,"221"
"







  
  
    Just got a puppy and this is a lifesaver. Works exactly as advertised. Would buy again in a minute!
  
","









  
  
    
  Just got a puppy and this is a lifesaver. Works exactly as advertised. Would buy again in a minute

  
","5.0 out of 5 stars","1","June 24, 2021",NA,"221"
"







  
  
    This is awesome!!
  
","









  
  
    
  I can't say enough good things about this vacuum mop steamer combo it's amazing get one it eliminates having a swifter

  
","5.0 out of 5 stars","1","September 11, 2021",NA,"221"
"







  
  
    Love this item! Perfect for our family.
  
","









  
  
    
  Love this item! Perfect for our family.

  
","5.0 out of 5 stars","1","January 21, 2021",NA,"221"
"







  
  
    Love my Tineco
  
","









  
  
    
  love this wish I bought earlier cuts my cleaning time in half.

  
","5.0 out of 5 stars","1","July 11, 2021",NA,"221"
"







  
  
    So far...I love it
  
","









  
  
    
  So far so good. Super easy to use. Easy to clean. The suction power is great. Haven’t had issues with the run time yet. Overall very pleased with my purchase and I have recommended this to friends

  
","5.0 out of 5 stars","1","March 17, 2021",NA,"221"
"







  
  
    It’s a bit tricky to catch on to the assembly, cleaning, and reassembly.
  
","









  
  
    
  My floor are much cleaner.

  
","5.0 out of 5 stars","1","April 27, 2021","1","221"
"







  
  
    Not worth the money.
  
","









  
  
    
  Not worth the money.

  
","1.0 out of 5 stars","1","October 15, 2021","1","221"
"







  
  
    Great product
  
","









  
  
    
  Love this saved so much time cleaning my wood and vinyl floors

  
","5.0 out of 5 stars","1","December 4, 2020",NA,"211"
"







  
  
    Happy Cat servant
  
","









  
  
    
  Used it for the first tome and very happy with the results - easy to use

  
","5.0 out of 5 stars","1","March 6, 2021",NA,"211"
"







  
  
    WiFi only product
  
","









  
  
    
  It has to be activated by WiFi which does not run otherwise

  
","1.0 out of 5 stars","1","July 11, 2021",NA,"211"
"







  
  
    Not sure if I like it
  
","









  
  
    
  I got this thinking it would live up to its great reviews but I am not 100% in love with it. I have dark real hard wood floors and it leaves very visable streaks. Also the dirty water tank fills up fast and it doesn’t get very close to corners and walls, it leaves about 1/2-1inch untouched.

  
","4.0 out of 5 stars","1","January 22, 2021",NA,"211"
"







  
  
    Horrible customer service
  
","









  
  
    
  Things started out great, but after less than a month of use, the vacuum stopped working. They are fixing this because it’s a warranty issue but I had to spend $40 to ship it back to them and they’re only willing to cover part of the cost.

  
","1.0 out of 5 stars","1","February 3, 2022",NA,"211"
"







  
  
    Amazing
  
","









  
  
    
  Honestly the best purchase of 2021

  
","5.0 out of 5 stars","1","April 6, 2021",NA,"211"
"







  
  
    Best Wet Dry Vacuum
  
","









  
  
    
  I absolutely LOVE my Tineco S3 Wet Floor Vacuum. It does an amazing job vacuuming and mopping my floors. I have two dogs and two kiddos and it makes my life a lot more manageable because this is a 2 in 1 system. I recommend this to everybody who wants to make their life easier!

  
","5.0 out of 5 stars","1","July 9, 2021",NA,"211"
"







  
  
    If you don’t have it yet what are you waiting for!
  
","









  
  
    
  This is a great product worth EVERY penny!

  
","5.0 out of 5 stars","1","March 3, 2021",NA,"211"
"







  
  
    Must have
  
","









  
  
    
  I love how easy this is to use with a house full of kids. The only problem I’ve noticed so far is my floors are not stream free but that doesn’t bother me. It cleans well and the solution smells nice too.

  
","4.0 out of 5 stars","1","July 7, 2021",NA,"211"
"







  
  
    Amazing!!
  
","









  
  
    
  This has cut my cleaning time in half, my floors have never been cleaner!

  
","5.0 out of 5 stars","1","January 4, 2022",NA,"211"
"







  
  
    Great durability!
  
","









  
  
    
  Great product for 2-in-1 durability. Does great on my wood floors, have to clean it out a little more frequently simply because I have multiple dogs in the house. Otherwise love this product!

  
","5.0 out of 5 stars","1","January 6, 2021",NA,"249"
"







  
  
    Worth it!
  
","









  
  
    
  I wish it did carpet too but if you have all wood floor or mainly wood floors it is great!We have 4 dogs and three kids. This thing is a time saver and works amazing.

  
","5.0 out of 5 stars","1","March 26, 2021",NA,"249"
"







  
  
    Best wet/dry vacuum
  
","









  
  
    
  Love the tineco! I had a Bissell Cross Wave before and this blows that out of the water! My whole house is wood floors and I use this everyday.

  
","5.0 out of 5 stars","1","April 3, 2021",NA,"249"
"







  
  
    Amazing
  
","









  
  
    
  Game changer especially with children!

  
","5.0 out of 5 stars","1","August 19, 2021","1","249"
"







  
  
    Best Christmas Present Ever for Wife
  
","









  
  
    
  I bought this for my wife for Christmas and she constantly is telling me it’s the best gift I’ve ever got her. It must be pretty good??!!

  
","5.0 out of 5 stars","1","February 6, 2022",NA,"249"
"







  
  
    The best product ever!!!
  
","









  
  
    
  I love it!!  I have been showing everyone I know a demonstration at their houses of how awesome this is, it’s better to show them than to tell them!!!

  
","5.0 out of 5 stars","1","November 10, 2020",NA,"249"
"







  
  
    It’s just ... ok
  
","









  
  
    
  Seems to clean well but battery power isn’t the best. It only lasts 12-15 minutes. Doesn’t get close enough to baseboards (stays over inch away) and seems to need self clean 5 minutes into using. I don’t hate it but don’t love it.

  
","3.0 out of 5 stars","1","November 17, 2020",NA,"249"
"







  
  
    Good item
  
","









  
  
    
  Please happy with the products.Good suction

  
","5.0 out of 5 stars","1","May 1, 2021",NA,"249"
"







  
  
    Works great
  
","









  
  
    
  I love how clean it gets my floors and it is so easy to use!

  
","5.0 out of 5 stars","1","July 12, 2021",NA,"249"
"







  
  
    Don’t get unless you want wet floors
  
","









  
  
    
  This product does not work just leaves floor wet

  
","1.0 out of 5 stars","1","October 27, 2020","1","249"
"







  
  
    HORRIBLE
  
","









  
  
    
  Don’t waste your money. Eventually it just ends up STINKING... BAD.. I’ve spent hundreds on new tanks rollers and filters but nothing seems to help. Customer service is also no help, they say to let it run through the cleaning cycle for 3 minutes but that doesn’t help. Why have a warranty if you don’t honor it. So frustrating

  
","1.0 out of 5 stars","1","May 17, 2021",NA,"190"
"







  
  
    Tiktok made me buy it
  
","









  
  
    
  So much better than My steam mop. I live to see the dirty water helps me be reassured that it’s doing it’s job.

  
","5.0 out of 5 stars","1","November 1, 2020",NA,"190"
"







  
  
    Love it
  
","









  
  
    
  So much better than the crosswave

  
","5.0 out of 5 stars","1","December 6, 2021",NA,"190"
"







  
  
    Amazing
  
","









  
  
    
  I highly recommend for tile/wood. I cleaned my entire house tile and cleaned the machine after use in 40 min which normally take me 1.5 hours with a regular broom/mop. I would rather use this over a mop any day. It even got hard stuck stuff of the tile. I’m so happy with my purchase!

  
","5.0 out of 5 stars","1","December 15, 2021",NA,"190"
"







  
  
    Enjoying it!
  
","









  
  
    
  I really like it so far, just used a few times but it’s easy!

  
","5.0 out of 5 stars","1","June 22, 2021",NA,"190"
"







  
  
    Easy to use works great.
  
","









  
  
    
  Easy cleaning

  
","5.0 out of 5 stars","1","January 4, 2022",NA,"190"
"







  
  
    Obsessed!! My favorite appliance!!
  
","









  
  
    
  This is the best purchase I’ve ever made!! I don’t know how I lived without it. Makes spills no big deal. I’m actually excited to clean my floors. Don’t hesitate! Just buy it! You won’t regret it!

  
","5.0 out of 5 stars","1","February 3, 2022",NA,"190"
"







  
  
    Vacumming and Mopping Floor is no long a two step process
  
","









  
  
    
  Love this product! Saves time and makes mopping floor daily a possibility now. The only improvement I see on this product is the noise. Hope the next generation will be quieter.

  
","5.0 out of 5 stars","1","January 8, 2022",NA,"190"
"







  
  
    Important vacuum to have.
  
","









  
  
    
  This is so easy to use and maneuver.  Great on my LVT planks.

  
","5.0 out of 5 stars","1","June 29, 2021",NA,"190"
"







  
  
    Great buy!
  
","









  
  
    
  So happy with this purchase. I love how quiet it is and how clean it gets my floors. It takes no effort at all and cuts my clean time in half. Not only is it a time saver I feel like it does a better job than a mop and bucket. If you have more hardwood than carpet this is definitely a great buy!

  
","5.0 out of 5 stars","1","January 10, 2021",NA,"190"
"







  
  
    Such a great machine
  
","









  
  
    
  Best money I have ever spent.  I have 3 dogs who drag in dirt and mud and I use this everyday to keep my floors clean.  Yes every day.  It’s lightweight and easy to use so keeping the floors clean takes very little time and effort.  I love the self cleaning feature.  Have not been happier about a housekeeping tool in my life.

  
","5.0 out of 5 stars","1","June 10, 2021",NA,"90"
"







  
  
    Huge time saver!
  
","









  
  
    
  I have about 1200sq.ft. of hard floors (wood laminate, luxury vinyl plank, tile). I am able to clean almost every room with one charge. Usually have to go back for one bedroom or bathroom.  Super happy with that, being that was my biggest worry with this cleaner. I also have 3 shedding cats/dogs in our home. It picks up the hair with no problem with a twice a week vacuuming.  It does not do well on my area rugs or stairs. I still use the traditional vacuum for those areas. Love that my floors are not only vacuumed, but also clean at the same time. No regrets buying this Tineco. Has saved me so much time in cleaning the house.

  
","5.0 out of 5 stars","1","January 30, 2022",NA,"90"
"







  
  
    Not worth the money
  
","









  
  
    
  As a very busy mom of 2 little ones, pets, and my whole house being hardwood floors, I was SO excited to get this vacuum to cut my floor cleaning time in half. After a few short months of using it, I’ve noticed that it leaves a lot of dirt/dust behind. Also, Not even a full minute into cleaning my floors, it will inform me to set it on the charger and to run the self cleaning cycle even after Ive taken it apart and cleaned it by hand as well as replacing the filter & roller. I also never put any other solution into it besides the Tineco solution so I have no idea what could be going on with it. For what I paid for this, I expected a much better product and I truly regret purchasing it. I will just stick the good old fashioned mop and bucket!

  
","3.0 out of 5 stars","1","April 25, 2021",NA,"90"
"







  
  
    Fabulous!!!
  
","









  
  
    
  So very glad I found this item!  So easy to use and works fabulously.  It excels on the hardwoods!  The tile in my home is textured and it does work on it, but not quite as well as on the hardwood - I run it over the tile 2-3 tiles in swipes as opposed to one swipe on the hardwood.  So very pleased though!!!

  
","5.0 out of 5 stars","1","August 28, 2021",NA,"90"
"







  
  
    Best vacuum I ever had
  
","









  
  
    
  This product is great. I already have three vacuums. My friend bought this one and said it fantastic. So I give it a try. It's totally worth the money. It cleans the both wood floor and title very well. Every time after vacuum, the water color turned to very dark and the floor looks much cleaner. Also it does not take much effort to clean the machine. It has auto cleaner.

  
","5.0 out of 5 stars","1","July 1, 2021",NA,"90"
"







  
  
    good
  
","









  
  
    
  Good design!Good: 1. auto cleaning mop function.2. clean wet food perfectly3. safe time4. noise not too loudBad: 1. will leak when the dirty container full2. Hard to make a turn. not like Dyson3. need always to be flat on the ground. it will be some force of friction when put a little straight or make a turnrecommend

  
","4.0 out of 5 stars","1","December 19, 2020",NA,"90"
"







  
  
    Daddy AF
  
","









  
  
    
  The most impressive thing about this was that I tested the highest traffic area of my house (by the back door, doggie door and dog water/food bowls) with a single pass followed up by scrubbing a few tiles with a damp paper towel to find nearly nothing on the paper towel.It is so fast and easy to use and I don’t care what kind of mess my kid or dogs make on the floor because I know it will be a quick clean up.I refer to this as my baby and my son may feel slightly offended but some day he will understand

  
","5.0 out of 5 stars","1","May 2, 2021","1","90"
"







  
  
    Absolutely love!!!!!!!
  
","









  
  
    
  So I have all hardwood floor in my house but one, I have a dog, two kids and a husband who loves to hunt.. which means they’re constantly tracking things in my house! It works so well and doesn’t leave any drops of water like the crosswave did. The only thing I didn’t like is I wish it got closer to the wall (leaves about a once inch gap) and the water tank held more.. but these are minor compared to the wonderful job it does. I have used it everyday since I received it. 100% recommend. If it breaks I will buy another..

  
","5.0 out of 5 stars","1","December 16, 2020",NA,"90"
"







  
  
    Senior kitties
  
","









  
  
    
  I have 3 senior kitties who have accidents. It was getting harder and harder to clean my floors.I was amazed at how much ""junk"" this pulled up the first time.  Dirt and grime i didn't know was there.I am so glad i got it and now it's an easy thing to clean up after them.

  
","5.0 out of 5 stars","1","December 11, 2021","1","90"
"







  
  
    Streaks on the floor
  
","









  
  
    
  I was so excited to order and receive this item. As soon as it arrived I went to work only to be highly disappointed. I started using the item and of course it needed to be charged two minutes after starting so I put it to charge. Then the item continued saying to change the water when the water was clean and I had just put the water. Once it finally charged I started using it again on the floor. After I was done with the hardwood floor I noticed streaks on the floor from what appeared to be the wheels on the vacuum. I went over the floor again only to see the same streaks again. Needless to say I am not impressed with this item.

  
","1.0 out of 5 stars","1","January 13, 2022",NA,"90"
"







  
  
    Highly Recommend!!!!!
  
","









  
  
    
  I am a chef and I bought this for my kitchen floor. I put a little floor cleaner in the tank and I spray the tough spots. It saves me so much time and it works.

  
","5.0 out of 5 stars","1","July 17, 2021","1","143"
"







  
  
    Light weight for what it does, very easy to use, love that is self cleans!
  
","









  
  
    
  This product is amazing. I’m a busy mom of floor and being able to sweep and mop at the same time is awesome. I can pull it out every meal and my floors look great! I have noticed that if I have a stubborn spot it can’t remove it, but to spot clean stubborn spots is no big deal. Love it.

  
","5.0 out of 5 stars","1","April 10, 2021",NA,"143"
"







  
  
    The best thing I’ve ever bought.
  
","









  
  
    
  Easy to use and easy to clean up after. I’d buy this 100 times! I’ve already had at least 5 other people buy one because it’s so wonderful. Cleans very well!

  
","5.0 out of 5 stars","1","July 20, 2021",NA,"143"
"







  
  
    Love ir
  
","









  
  
    
  Love love love the Tineco Ifloor S3. I clean my floors daily and when I got this machine delivered  I couldn't wait to use it and to my surprise my floor was disgusting.. but the tineco got it clean. I would recommend it for anyone.

  
","5.0 out of 5 stars","1","January 13, 2021",NA,"143"
"







  
  
    Impressed!
  
","









  
  
    
  I had my doubts on this product, but it works! I didn't clean my floors for a while anticipating getting this. My floors are spotless! The dirty water tank was quite dirty, which was a good sign. It picked up cat hair and everything. I did have to take everything apart and clean it after using it throughout my home, but I figured I'd have to. Can't recommend this product enough!

  
","5.0 out of 5 stars","1","March 26, 2021",NA,"143"
"







  
  
    Used item
  
","









  
  
    
  I received my Tineco today and I opened it and it was obvious that I was sent a returned item.  The machine is dirty, there is hair in the roller and the cleaning solution was opened.  Very disappointed for the price I paid to get a used dirty item.

  
","1.0 out of 5 stars","1","July 15, 2021","1","143"
"







  
  
    This thing will change your life
  
","









  
  
    
  Literally... what the title says.  After using this the first time I was ashamed of how much dirt it was able to get off of my floors.  This vacuum cleaner is amazing.

  
","5.0 out of 5 stars","1","May 15, 2021",NA,"143"
"







  
  
    This product is absolutely wonderful it makes cleaning your home quick and easy it’s a must have
  
","









  
  
    
  This product is absolutely wonderful it makes cleaning your home quick and easy it’s a must have

  
","4.0 out of 5 stars","1","March 16, 2022",NA,"143"
"







  
  
    Easy fun cleaning!
  
","









  
  
    
  Love this! Makes floor cleaning fun and it used to be my least favorite chore! Love that it is self propelled so saves my energy, easy to clean, and did a great job, way better at getting stuff out of corners and edges than my Bissell Crosswave

  
","5.0 out of 5 stars","1","December 12, 2020",NA,"143"
"







  
  
    Perfect gift for my Grandma
  
","









  
  
    
  I bought this vacuum cleaner for my grandmother who has arthritis’s all around her body. knowing that she honestly loves cleaning now! I agree with it being lightweight and just plain out awesome especially for hardwood floors! But there is one problem I find occurring… which it’s having problems reaching the edges of the wall. Other then that it still amazing for the elderly and of course others like myself!

  
","5.0 out of 5 stars","1","January 18, 2022",NA,"143"
"







  
  
    You will spend more time cleaning it than the floor.
  
","









  
  
    
  I really wanted to like this. Tineco does a great job with vacuums. But this is such a time waster. It needs its tank emptied and cleaned and declogged every two minutes. Save yourself the headache and just get a good mop and bucket.

  
","2.0 out of 5 stars","1","December 1, 2020","1","158"
"







  
  
    Big time saver, easy to use
  
","









  
  
    
  So easy to use , and my floors have never been cleaner. And YALL it’s SELF PROPELLED. I had no clue when I ordered it and it was such a nice surprise. Worth every penny!

  
","5.0 out of 5 stars","1","December 13, 2020",NA,"158"
"







  
  
    5 stars all around
  
","









  
  
    
  love love my tineco and cannot see my life without her. my only “complaint” is that the vacuum doesn’t get close enough to clean corners, not sure if that makes sense but besides that, i absolutely love my tineco and use it every single day! especially with a messy toddler running around! :)

  
","5.0 out of 5 stars","1","June 7, 2021",NA,"158"
"







  
  
    Worth it!
  
","









  
  
    
  This is a great machine! Cleans hardwood and vacuums at same time. Very easy to use and the self cleaning function is great. Highly recommend.

  
","5.0 out of 5 stars","1","April 27, 2021",NA,"158"
"







  
  
    Love
  
","









  
  
    
  Upgraded to the floor one s3 and I have no regrets. Love it. Lightweight. Easy to use & easy to clean after. Great for needing to quickly get them floors clean and looking good! Highly recommend!

  
","5.0 out of 5 stars","1","September 7, 2021",NA,"158"
"







  
  
    The Tineco S3 is amazing!!!
  
","









  
  
    
  I am shocked. I was worried this thing wouldn’t live up to the hype, but worth a shot. Let’s just say it exceeded my expectations! My floor has never been cleaner or looked better. It picked up dirt, dust, dog hair and long hair with zero problems. I can’t believe how dirty the water was after cleaning. The self propelled feature makes it so easy to maneuver, and the self cleaning feature when you’re done is so cool. If you’re on the fence, buy it!

  
","5.0 out of 5 stars","1","January 1, 2021",NA,"158"
"







  
  
    Love most of this
  
","









  
  
    
  I hate mopping so I got this to help me out. For the most part it is awesome. There is a self cleaning cycle, I just feel like there is a lot for me to clean afterwards!

  
","4.0 out of 5 stars","1","March 3, 2021",NA,"158"
"







  
  
    Leaks
  
","









  
  
    
  Bought this item after seeing several good reviews . I’m not sure if they gave me a used item or what but the dirty water leaks all over the floor everytime I use it ! It’s disgusting and there is no troubleshooting for this issue !

  
","2.0 out of 5 stars","1","December 15, 2020",NA,"158"
"







  
  
    Love this 2 in 1
  
","









  
  
    
  Works great only downfall is I can’t use it for longer than 20mins

  
","5.0 out of 5 stars","1","December 18, 2021","1","158"
"







  
  
    Great product and great for people with pets.
  
","









  
  
    
  I absolutely love this purchase. This is a very good investment. I had mopped my floors the day before I received it and wanted to test it out. I was AMAZED at the amount of dirt it got off of my floors! Very satisfied. It even works great with dog hair!  It got up a ton of dog hair and never got stopped up.

  
","5.0 out of 5 stars","1","February 8, 2021",NA,"158"
"







  
  
    Best hard floor cleaner
  
","









  
  
    
  I love this floor cleaner!  I have dogs and it sucks up the hair and cleans the floor!  Timesaver and great cleaning!

  
","5.0 out of 5 stars","1","August 1, 2021",NA,"173"
"







  
  
    Will not charge after 3 months.
  
","









  
  
    
  It will not charge after 3 months.

  
","2.0 out of 5 stars","1","December 28, 2020","1","173"
"







  
  
    Broke down in less than a year
  
","









  
  
    
  Garbage. Bought in oct 2020. It has not even been a year and battery already died. It won't charge at all. I'm returning it and they even charge a restocking fee of almost $50 if you want your money back.. do not buy

  
","2.0 out of 5 stars","1","July 4, 2021",NA,"173"
"







  
  
    Amazing!
  
","









  
  
    
  This thing is the cat’s pajamas! It is so easy to use and the self propelling is so smooth. Cuts the cleaning time way down and it’s so satisfying to see that dirty water! The self cleaning is awesome. 10/10 recommend.

  
","5.0 out of 5 stars","1","June 26, 2021",NA,"173"
"







  
  
    Works great
  
","









  
  
    
  Works really well on my floors. I wish it smelled better to leave the house a just cleaned smell. It can be a hassle cleaning the dirty water tank if you are a very busy person.

  
","4.0 out of 5 stars","1","July 18, 2021","1","173"
"







  
  
    It's pretty nice
  
","









  
  
    
  This vacuum is nice, it does what it's supposed to do. The wifi feature is pretty much useless it doesn't work at all. But as far as the actual vacuum it's it's holding up pretty well.

  
","4.0 out of 5 stars","1","December 19, 2020",NA,"173"
"







  
  
    Love it
  
","









  
  
    
  It is everything that it is supposed to be and more

  
","5.0 out of 5 stars","1","December 16, 2021",NA,"173"
"







  
  
    Sweep and mop at the same time
  
","









  
  
    
  Our daughter purchased the Tineco iFLOOR3 during black fridays sales and couldn't say enough great things about this  floor cleaner. So we purchased one also. We use it on hardwood floors and appreciate being able to sweep and mop at the same time.

  
","5.0 out of 5 stars","1","May 23, 2021",NA,"173"
"







  
  
    AMAZING!!!
  
","









  
  
    
  The best Prime Day purchase ever. I have 2 dogs and 2 cats in a small home. We have hardwood floors. This is my best friend when muddy paws come into the house.

  
","5.0 out of 5 stars","1","July 22, 2021",NA,"173"
"







  
  
    Lasted for 2 months 😞
  
","









  
  
    
  Only lasted for 2 months. DWT malfunction

  
","2.0 out of 5 stars","1","February 5, 2022",NA,"173"
"







  
  
    so time-saving and so easy-to-use
  
","









  
  
    
  cleaning is pretty complete and your best choice if you have a little kid and use hardwood flloors.

  
","5.0 out of 5 stars","1","August 6, 2021",NA,"183"
"







  
  
    This is a must have!
  
","









  
  
    
  Best purchase I have made all year! This cut cleaning time in half. Got rid of all my mops, floor dusters, etc.

  
","5.0 out of 5 stars","1","March 12, 2021",NA,"183"
"







  
  
    Great product
  
","









  
  
    
  One of the best, time saving purchases I've ever made.  Makes life with multiple dogs so much easier.

  
","5.0 out of 5 stars","1","June 19, 2021",NA,"183"
"







  
  
    Buy the Tineco! You will be glad you did!
  
","









  
  
    
  I no longer hate mopping. Best purchase ever!!

  
","5.0 out of 5 stars","1","June 3, 2021","1","183"
